學校名稱,日間學制學士班學雜費收費基準-醫學系,日間學制學士班學雜費收費基準-牙醫學系,日間學制學士班學雜費收費基準-醫學院,日間學制學士班學雜費收費基準-工學院,日間學制學士班學雜費收費基準-理農學院,日間學制學士班學雜費收費基準-商學院,日間學制學士班學雜費收費基準-文法學院,日間學制學士班學雜費收費基準-其他
國立政治大學,0,0,0,0,"28,430","24,890","24,510",0
國立清華大學,0,0,0,"28,630","28,630","24,370","24,370",0
國立臺灣大學,"39,560","36,170","31,050","29,470","30,260","25,610","25,230",0
國立臺灣師範大學,0,0,0,"27,600","27,380",0,"23,590",0
國立成功大學,"39,550","36,160","31,040","29,490","29,250","25,600","25,210",0
國立中興大學,0,0,"28,438","27,877","27,652","24,215","23,858",0
國立陽明交通大學,"38,380","35,080","30,110","28,990","28,740","28,740","24,770",0
國立中央大學,0,0,0,"28,660","28,440","24,870","24,510",0
國立中山大學,0,0,0,"28,940","28,710","25,130","24,730",0
國立臺灣海洋大學,0,0,0,"27,810","27,590","24,140","24,140",0
國立中正大學,0,0,0,"28,100","27,880","24,400","24,020",0
國立高雄師範大學,0,0,0,"27,590","27,365",0,"23,605",0
國立彰化師範大學,0,0,0,"27,570","27,340","23,950","23,590",0
國立臺北大學,0,0,0,"26,540",0,"22,510","22,170",0
國立嘉義大學,0,0,0,"24,650","24,440","21,390","21,070",0
國立高雄大學,0,0,0,"26,720","26,510","23,320","23,320",0
國立東華大學,0,0,0,"27,790","27,570","24,100","23,740",0
國立暨南國際大學,0,0,0,"26,185",0,"22,741","22,397",0
國立臺灣科技大學,0,0,0,"28,390",0,"24,700","24,340","28,390"
國立雲林科技大學,0,0,0,"27,845",0,"24,182","24,182","27,845"
國立屏東科技大學,0,0,0,"27,580","27,340","24,000","24,000",0
國立臺北科技大學,0,0,0,"26,896",0,"23,339","23,339",0
國立臺北藝術大學,0,0,0,"26,620",0,0,0,0
國立臺灣藝術大學,0,0,0,"26,230",0,0,0,0
國立臺東大學,0,0,0,0,"25,490",0,"21,980",0
國立宜蘭大學,0,0,0,"26,302","26,086","22,827",0,0
國立聯合大學,0,0,0,"26,000",0,"22,600","22,285",0
國立虎尾科技大學,0,0,0,"25,748",0,"21,997","21,997",0
國立臺南藝術大學,0,0,0,0,"26,990",0,0,0
國立臺南大學,0,0,0,0,"25,330","22,790","21,840",0
國立臺北教育大學,0,0,0,0,"26,250",0,"22,600",0
國立臺中教育大學,0,0,0,0,"24,840","23,950","21,410",0
國立澎湖科技大學,0,0,0,"23,491",0,"20,394",0,0
國立勤益科技大學,0,0,0,"27,029",0,"23,466","23,100",0
國立體育大學,0,0,0,0,"23,870",0,0,0
國立臺北護理健康大學,0,0,0,0,"26,240",0,0,0
國立高雄餐旅大學,0,0,0,0,0,0,0,"24,139"
國立金門大學,0,0,"26,761","25,390",0,"22,042","22,042",0
國立臺灣體育運動大學,0,0,0,0,"22,980",0,0,0
國立臺中科技大學,0,0,0,0,0,"21,520",0,"25,660"
國立臺北商業大學,0,0,0,0,0,"21,520",0,"25,780"
國立屏東大學,0,0,0,"25,394","25,320","22,794","21,820",0
國立高雄科技大學,0,0,0,"26,279","26,063","22,814","22,814","26,277"
國立臺灣戲曲學院,0,0,0,0,0,0,0,"23,150"
國立臺南護理專科學校,0,0,0,0,0,0,0,0
國立臺東專科學校,0,0,0,0,0,0,0,0
東海大學,0,0,0,"56,289","55,820","48,951","50,510",0
輔仁大學,"72,500",0,"58,200","55,350","54,890","48,140","47,430",0
東吳大學,0,0,0,"56,460","55,990","49,110","48,370",0
中原大學,0,0,0,"54,870","54,360","46,060","46,060",0
淡江大學學校財團法人淡江大學,0,0,0,"54,720","54,260","47,590","46,880",0
中國文化大學,0,0,0,"53,390","52,950","46,425","45,735",0
逢甲大學,0,0,0,"54,970",0,"47,820","47,080",0
靜宜大學,0,0,0,0,"51,874","45,496","44,811",0
長庚大學,"59,317",0,"46,577","44,307",0,"38,528",0,0
元智大學,0,0,0,"56,040",0,"48,910","48,190",0
中華大學學校財團法人中華大學,0,0,0,"51,880","51,880","45,121","44,442",0
大葉大學,0,0,"55,900","52,748",0,"45,870","45,218",0
華梵大學,0,0,0,"52,380","52,380",0,"44,870",0
義守大學,"72,500",0,"55,495","55,373","54,232","47,994","45,405",0
世新大學,0,0,0,"56,914",0,"49,252","48,283",0
銘傳大學,0,0,0,"53,383",0,"46,201","45,288",0
實踐大學,0,0,0,"49,795","49,380","43,315","42,675",0
朝陽科技大學,0,0,0,"55,684",0,"48,409","48,409","55,684"
高雄醫學大學,"71,159","65,115","55,848",0,"52,688",0,"45,514",0
南華大學,0,0,0,"51,597",0,"46,597","44,865",0
真理大學,0,0,0,0,"51,940","45,560","44,870",0
大同大學,0,0,0,"54,170",0,"47,120",0,0
南臺學校財團法人南臺科技大學,0,0,0,"55,270",0,"48,135","47,425","55,270"
崑山科技大學,0,0,0,"52,206",0,"45,437",0,"52,206"
嘉藥學校財團法人嘉南藥理大學,0,0,"56,825",0,0,"50,575",0,"52,928"
樹德科技大學,0,0,0,"53,390",0,"46,433",0,0
慈濟學校財團法人慈濟大學,"61,975",0,"48,849","54,230",0,"47,800","46,831",0
臺北醫學大學,"71,480","65,410","56,110",0,0,0,0,0
中山醫學大學,"71,495","65,414","56,110",0,0,0,0,0
龍華科技大學,0,0,0,"51,308",0,"44,630","44,630",0
輔英科技大學,0,0,"56,610","53,870",0,"53,870",0,0
明新學校財團法人明新科技大學,0,0,0,"51,210",0,"44,617",0,0
長榮大學,0,0,"56,000","52,740","54,740","46,210","46,210",0
弘光科技大學,0,0,"55,057","52,369",0,0,0,"52,369"
中國醫藥大學,"71,489","65,425","56,126",0,0,0,0,0
健行學校財團法人健行科技大學,0,0,0,"54,124",0,"47,165",0,0
正修學校財團法人正修科技大學,0,0,0,"54,735",0,"47,597",0,"47,597"
