year,setup,category,code,name,FoM,DoD,MS,SE,FSoA,BS,GS,Other
110,公立,一般大學,0001,國立政治大學,0,0,0,0,28430,24890,24510,0
110,公立,一般大學,0002,國立清華大學,0,0,0,"28,630",28630,"24,370","24,370",0
110,公立,一般大學,0003,國立臺灣大學,"39,560","36,170","31,050","29,470","30,260","25,610","25,230",0
110,公立,一般大學,0004,國立臺灣師範大學,0,0,0,"27,600","27,380",0,"23,590",0,
110,公立,一般大學,0005,國立成功大學,"39,550","36,160","31,040","29,490","29,250","25,600","25,210",0,
110,公立,一般大學,0006,國立中興大學,0,0,"28,438","27,877","27,652","24,215","23,858",0
110,公立,一般大學,0007,國立陽明交通大學,"38,380","35,080","30,110","28,990","28,740","28,740","24,770",0
110,公立,一般大學,0008,國立中央大學,0,0,0,"28,660","28,440","24,870","24,510",0
110,公立,一般大學,0009,國立中山大學,0,0,0,"28,940","28,710","25,130","24,730",0
110,公立,一般大學,0012,國立臺灣海洋大學,0,0,0,"27,810","27,590","24,140","24,140",0
110,公立,一般大學,0013,國立中正大學,0,0,0,"28,100","27,880","24,400","24,020",0
110,公立,一般大學,0014,國立高雄師範大學,0,0,0,"27,590","27,365",0,"23,605",0
110,公立,一般大學,0015,國立彰化師範大學,0,0,0,"27,570","27,340","23,950","23,590",0
110,公立,一般大學,0017,國立臺北大學,0,0,0,"26,540",0,"22,510","22,170",0
110,公立,一般大學,0018,國立嘉義大學,0,0,0,"24,650","24,440","21,390","21,070",0
110,公立,一般大學,0019,國立高雄大學,0,0,0,"26,720","26,510","23,320","23,320",0
110,公立,一般大學,0020,國立東華大學,0,0,0,"27,790","27,570","24,100","23,740",0
110,公立,一般大學,0021,國立暨南國際大學,0,0,0,"26,185",0,"22,741","22,397",0
110,公立,技專校院,0022,國立臺灣科技大學,0,0,0,"28,390",0,"24,700","24,340","28,390"
110,公立,技專校院,0023,國立雲林科技大學,0,0,0,"27,845",0,"24,182","24,182","27,845"
110,公立,技專校院,0024,國立屏東科技大學,0,0,0,"27,580","27,340","24,000","24,000",0
110,公立,技專校院,0025,國立臺北科技大學,0,0,0,"26,896",0,"23,339","23,339",0
110,公立,一般大學,0028,國立臺北藝術大學,0,0,0,"26,620",0,0,0,0
110,公立,一般大學,0029,國立臺灣藝術大學,0,0,0,"26,230",0,0,0,0
110,公立,一般大學,0030,國立臺東大學,0,0,0,0,"25,490",0,"21,980",0
110,公立,一般大學,0031,國立宜蘭大學,0,0,0,"26,302","26,086","22,827",0,0
110,公立,一般大學,0032,國立聯合大學,0,0,0,"26,000",0,"22,600","22,285",0
110,公立,技專校院,0033,國立虎尾科技大學,0,0,0,"25,748",0,"21,997","21,997",0
110,公立,一般大學,0035,國立臺南藝術大學,0,0,0,0,"26,990",0,0,0
110,公立,一般大學,0036,國立臺南大學,0,0,0,0,"25,330","22,790","21,840",0
110,公立,一般大學,0037,國立臺北教育大學,0,0,0,0,"26,250",0,"22,600",0
110,公立,一般大學,0039,國立臺中教育大學,0,0,0,0,"24,840","23,950","21,410",0
110,公立,技專校院,0042,國立澎湖科技大學,0,0,0,"23,491",0,"20,394",0,0,
110,公立,技專校院,0043,國立勤益科技大學,0,0,0,"27,029",0,"23,466","23,100",0
110,公立,一般大學,0044,國立體育大學,0,0,0,0,"23,870",0,0,0
110,公立,技專校院,0046,國立臺北護理健康大學,0,0,0,0,"26,240",0,0,0
110,公立,技專校院,0047,國立高雄餐旅大學,0,0,0,0,0,0,0,"24,139"
110,公立,一般大學,0048,國立金門大學,0,0,"26,761","25,390",0,"22,042","22,042",0
110,公立,一般大學,0049,國立臺灣體育運動大學,0,0,0,0,"22,980",0,0,0
110,公立,技專校院,0050,國立臺中科技大學,0,0,0,0,0,"21,520",0,"25,660"
110,公立,技專校院,0051,國立臺北商業大學,0,0,0,0,0,"21,520",0,"25,780"
110,公立,一般大學,0052,國立屏東大學,0,0,0,"25,394","25,320","22,794","21,820",0
110,公立,技專校院,0053,國立高雄科技大學,0,0,0,"26,279","26,063","22,814","22,814","26,277"
110,公立,技專校院,0144,國立臺灣戲曲學院,0,0,0,0,0,0,0,"23,150"
110,公立,技專校院,0221,國立臺南護理專科學校,0,0,0,0,0,0,0,0
110,公立,技專校院,0222,國立臺東專科學校,0,0,0,0,0,0,0,0
110,公立,一般大學,3002,臺北市立大學,0,0,0,0,"23,500","24,000","20,200",0
